25642:如果\从\另\一\角度\来\看\,\这\件\事\就\显得\很\可笑\.\
#suppose I were left alone on a desert island,what would I do?.
父距 郴啊 绊刀窍霸 公牢档俊 巢败柳促搁, 唱绰 绢痘霸 且鳖?

25763:如果\我\不\尊重\自己\,\没有\人\会\尊敬\我\.\
#If I don't respect me,nobody else will.
父距 郴啊 磊脚阑 粮吝窍瘤 臼绰促搁, 酒公档 唱甫 粮版窍瘤 臼绰促.

25764:如果\我\处在\她的\地位\,\我\会\有\不同\想法\.\
#Were I in her place,I would think differently.
父距 郴啊 弊赤狼 涝厘俊 贸秦 乐促搁, 唱绰 促弗 积阿阑 啊脸阑 巴捞促.

25765:如果\我的\记忆\正确\,\那\是\在\上\个\月\的\九\号\.\
#It was on the 9th of last month,if my memory is correct.
父距 唱狼 扁撅捞 沥犬窍促搁, 弊巴篮 瘤抄 崔 9老捞菌促.

25766:如果\我的\丈夫\抛弃\我\,\我\就\不会\再\要\他\.\
#If my husband leaves me,I won't take him back.
父距 唱狼 巢祈捞 唱甫 滚赴促搁, 唱绰 促矫 弊甫 盔窍瘤 臼阑 巴捞促.

25767:如果\我的\资历\受到\认可\,\我\决不\有\负\雅\望\.\
#Should my qualification receive your favourable consideration,no exertion should be wanting on my part to please you.
父距 唱狼 捞仿捞 牢沥罐绰促搁, 唱绰 搬内 锐噶阑 历滚府瘤 臼阑 巴涝聪促.

25768:如果\我\父亲\知道\我\吸毒\,\就\会\把\我\撵\出\家门\.\
#My father would turn me out if he knew I took drugs.
父距 唱狼 酒滚瘤膊辑 唱俺 付距窍绰 巴阑 酒脚促搁, 唱甫 啊巩俊辑 卵酒尘 巴涝聪促.

25769:如果\我\没有\记\错\,\我\将\书\放\在\第\四\层\架子\上\.\
#I put the book on the fourth shelf,if I do not misrecollect.
父距 郴啊 肋给 扁撅窍瘤 臼绰促搁, 唱绰 氓阑 匙 锅掳 摸 氓踩捞俊 滴菌促.

25770:如果\我们\赶不上\公共汽车\,\我们\只好\走路\.\
#If we miss the bus,we'll have to foot it.
父距 快府啊 滚胶甫 棱阑 荐 绝促搁, 快府绰 绢驴 荐 绝捞 吧绢啊具 茄促.

25771:如果\我们\能为\您\做\点\什么\事\,\就\请\通知\好\吗\?\
#Will you call on us if there's anything we can do?
父距 快府啊 寸脚阑 困秦 公攫啊 老阑 且 荐 乐促搁, 烹瘤秦林矫摆嚼聪鳖?

25772:如果\我们\能为\您\做\些\什么\,\请\告诉\我们\.\
#Meanwhile,if there is anything I can do for you,just let me know.
父距 快府啊 寸脚阑 困秦 公攫啊甫 且 荐 乐促搁, 快府俊霸 富靖秦 林绞矫坷.

25773:如果\我\明天\来\晚\了\,\你\替\我\掩饰\一下\,\好\吗\?\
#If I'm late tomorrow you'll cover up for me,won't you?
父距 郴啊 郴老 词霸 柯促搁, 匙啊 唱甫 粱 措脚秦 临 荐 乐聪?
 
25774:如果\我\是\你\,\我\会\在\房子\周围\种\一些\树\.\
#If I were you I would plant some trees round the house.
父距 郴啊 呈扼搁, 唱绰 笼 林函俊 唱公甸阑 缴阑 巴捞促.

25775:如果\我\需要\你\来\帮忙\,\我\会\打电话\的\.\
#If I need you to come and help I'll call.
父距 郴啊 匙啊 客辑 档客林绰 巴阑 鞘夸肺 茄促搁, 唱绰 傈拳甫 吧 巴捞促.

25776:如果\我\要\买\那\辆\汽车\,\我\就\不得不\借\点\钱\.\
#If I buy that car,I'll have to borrow some money.
父距 郴啊 弊 磊悼瞒甫 荤绊磊 茄促搁, 唱绰 捣阑 粱 呼妨具 茄促.

25777:如果\我\有\更\多\的\时间\学习\英语\就\好了\.\
#I wish I had more time for learning English.
父距 郴啊 康绢甫 傍何且 歹 腹篮 矫埃捞 乐栏搁 亮阑刨单.

25778:如果\我\有\时间\,\我\本来\是\要\打电话\给\你的\.\
#If I had had time,I would have called you.
父距 郴啊 矫埃捞 乐促搁, 唱绰 盔贰 呈俊霸 傈拳甫 吧妨绊 沁促.

25779:如果\我\有\时间\,\我\就\可以\详谈\这个\话题\.\
#If I had time,I could dilate on this topic.
父距 郴啊 矫埃捞 乐促搁, 唱绰 捞 拳力甫 惑技洒 捞具扁且 荐 乐促.

25780:如果\我\找到\它\,\我\早\就\把\它\还给\你\了\.\
#Had I found it ,I would have returned it to you.
父距 郴啊 弊巴阑 茫疽促搁, 唱绰 捞固 弊巴阑 呈俊霸 倒妨林菌阑 巴捞促.

25781:如果\我\知道\你\没有\钥匙\,\我\本\不会\锁门\的\.\
#Had I known you didn't have a key,I wouldn't have locked the door.
父距 郴啊 匙啊 凯艰啊 绝促绰 巴阑 舅疽促搁, 唱绰 夯贰 巩阑 泪弊瘤 臼疽阑 巴捞促.

25782:如果\我\知道\你\要\去\,\我\本\会\叫\你的\.\
#If I had known you wanted to go,I would have caalled you.
父距 郴啊 匙啊 啊具 茄促绰 巴阑 舅疽促搁, 唱绰 夯贰 呈甫 阂范阑 巴捞促.

25783:如果\我\知道\她的\地址\,\我\早\就\写\信\给\她\了\.\
#Had I known her address,I should have written to her.
父距 郴啊 弊赤狼 林家甫 舅疽促搁, 唱绰 国结 弊赤俊霸 祈瘤甫 借阑 巴捞促.

25784:如果\我\知道\她的\号码\,\我\可能\给\她\打电话\.\
#If I know her number I could ring her up.
父距 郴啊 弊赤狼 傈拳 锅龋甫 舅疽促搁, 唱绰 酒付 弊赤俊霸 傈拳甫 吧菌阑 巴捞促.

25785:如果\我\追\不\上\你\,\请\在\那\拐角\上等\我\.\
#If I don't catch up,wait for me at the corner.
父距 郴啊 寸脚阑 蝶扼棱阑 荐 绝促搁,  弊 葛劈捞俊辑 唱甫 扁促府技夸.

25786:如果\我\昨天\在\这里\,\我\就\会\帮忙\她\了\.\
#Had I been here yesterday,I should have helped her.
父距 郴啊 绢力 咯扁俊 乐菌促搁, 唱绰 弊赤甫 档吭阑 巴捞促.

25787:如果\物价\继续\上涨\,\政府\就\会\摇摇欲坠\.\
#The government's going to come unstuck if prices keep rising.
父距 拱啊啊 拌加 坷弗促搁, 沥何绰 官肺 如甸如甸 公呈龙 巴捞促.

25788:如果\现在\我\有\这\本\小说\,\我\就\拿\给\你\.\
#If I had the novel now,I should let you have it.
父距 泅犁 郴啊 捞 家汲阑 啊瘤绊 乐促搁, 唱绰 呈俊霸 啊廉促林菌阑 巴捞促.

25789:如果\需要\的\话\,\这\篇\文章\可以\拉长\到\六\千\字\.\
#The article could be spun out to 6,000 words if necessary.
父距 鞘夸肺 茄促搁, 捞 扁荤绰 6玫 磊肺 疵副 荐 乐促.

25790:如果\需要\其它\申请\材料\,\请\尽\早\通知\我\.\
#If any further material is still requited for my application,please let me know at your earliest convenience.
父距 扁鸥 脚没 磊丰啊 鞘夸窍搁, 啊瓷茄 茄 弧府 唱俊霸 烹瘤秦 林绞矫坷.

25791:如果\要\举行\足球\赛\,\请\把\我\也\算作\参加\者\.\
#If there is going to be a football match,please count me in.
父距 绵备 矫钦阑 茄促搁, 唱档 曼啊磊俊 持绢林绞矫坷.

25792:如果\椅子\不够\坐\的\话\,\有些\人\就\得\站\着\了\.\
#If there are not enough chairs to go around,some people will have to stand.
父距 狼磊啊 旧扁 何练窍搁, 割割 荤恩篮 辑具 且 巴捞促.

25793:如果\以为\你\能\免\受\惩罚\,\那就\错\了\.\
#It's a mistake to think that you can get away with it.
父距 匙啊 隆国 罐绰 巴阑 搁且 荐 乐促搁 积阿茄促搁, 弊巴篮 肋给捞促.

25794:如果\银行\拒绝\给\我们\贷款\,\我们\就\完了\.\
#If the bank refuses to lend us the money,we're finished.
父距 篮青捞 快府俊霸 措何窍绰 巴阑 芭例茄促搁, 快府绰 场抄促.

25795:如果\有\机会\,\我\就\到\奥地利\来\看\你\.\
#I'd come and see you in Austria,given the chance.
父距 扁雀啊 乐栏搁, 唱绰 坷胶飘府酒俊 啊辑 呈甫 杭 巴捞促.

25796:如果\有\人\打电话\来\,\别\忘\了\问\他的\名字\.\
#If somebody telephones,remember to ask his name.
父距 穿焙啊啊 傈拳甫 窍搁, 弊狼 捞抚阑 汞绰 巴阑 镭瘤 富酒扼.

25797:如果\有\什么\不妥\,\他们\会\重新\考虑\这\件\事\的\.\
#If anything fell out amiss ,they would reconsider it.
父距 公郊 鸥帕窍瘤 臼篮 巴捞 乐栏搁, 弊甸篮 促矫 捞 老阑 绊妨且 巴捞促.

25798:如果\有\什么\事\,\可以\打电话\跟\我\连\络\.\
#If anything happens,you can reach me by telephone .
父距 公郊 老捞 乐栏搁,  傈拳甫 秦辑 唱客 楷遏且 荐 乐促.

25799:如果\有\信\来\,\我\是否\可以\把\他们\转\寄\去\?\
#If any letters come can I send them on?
父距 祈瘤啊 乐栏搁, 唱绰 弊甸俊霸 傈价秦档 邓聪鳖?

25800:如果\雨\真的\不停\,\我们\要\干\些\什么\呢\?\
#Should the rain not stop,what would we do?
父距 厚啊 沥富肺 肛眠瘤 臼绰促搁, 快府绰 绢恫 巴甸阑 秦具父 且鳖?

25801:如果\再\给\他\一次\机会\,\他\会\尽\全力\去\做\.\
#should he be given another chance,he will do his best.
父距 促矫 弊俊霸 茄 锅狼 扁雀啊 林绢柳促搁, 弊绰 傈仿阑 促秦辑 且 巴捞促.

25802:如果\曾经\有\过\伟大\的\音乐\家\,\那\他\就是\一\个\.\
#He is a great musician if ever there was one.
父距 老骂扁 困措茄 澜厩啊啊 乐菌促搁, 弊巴篮 弊啊 官肺 茄 荤恩捞促.

25803:如果\这\本\词典\便宜\点\,\我\昨天\就\把\它\买\来\了\.\
#If the dictionary were cheaper,I would have bought it yesterday.
父距 捞 荤傈捞 粱 秸歹扼搁, 唱绰 绢力 弊巴阑 荤吭阑 巴捞促.

25804:如果\这个\尺寸\太\小\,\伯伯\有\什么\别的\吗\?\
#If this size is too small,do you have any others?.
父距 捞 农扁啊 呈公 累促搁, 酒历揪绰 公郊 促弗 巴阑 啊瘤绊 乐嚼聪鳖?

25805:如果\这\件\事\被\人\知道\,\你\就\会\声\名\狼藉\.\
#If this matter becomes known,it will ruin your reputation.
父距 捞 老捞 穿焙啊啊 舅霸 登搁, 呈绰 困脚捞 顶官蹿俊 冻绢瘤霸 瞪 巴捞促.

25806:如果\知道\你\在\办公楼\里\,\我\就\来\看\你\了\.\
#If I had known you were in the office building,I would have looked you up.
父距 匙啊 荤公角 呼爹 救俊 乐促绰 巴阑 舅疽促搁, 唱绰 呈甫 焊矾 吭阑 巴捞促.

25807:如果\指定\在\甲板\上装\货\,\保险\率\是否\会\提高\?\
#If deck loading is specified,will the insurance rates be higher?
父距 癌魄 困俊辑 拱扒阑 狡扁肺 瘤沥茄促搁, 焊氰啦篮 力绊瞪 荐 乐嚼聪鳖?

25808:如今\人们\的\观念\都\受到\广告\的\深刻\影响\.\
#People today are brainwashed by advertising.
坷疵朝 荤恩甸狼 包充篮 葛滴 堡绊狼 缴阿茄 康氢阑 罐绰促.

25809:如今\我\看到\了\历史\的\重演\,\这\真\让\我\痛\心\.\
#Now I see history repeating itself,and it breaks my heart.
瘤陛 唱绰 开荤狼 犁楷阑 焊疽促. 捞巴篮 沥富肺 唱肺 窍咯陛 啊娇 酒橇霸 茄促.

25810:如\拒绝\承\兑\,\惠\请\出\具\拒\付\证书\为\荷\.\
#If acceptance should be refused,please have the bill protested.
父距 牢荐甫 芭例窍脚促搁, 芭何 刘辑甫 惯青秦 林矫扁 官而聪促.

25811:如\蒙\惠\告\中国\皮鞋\的\详细\情况\,\不胜\感激\.\
#We should be grateful if you would give us further details of Chinese leather shoes.
父距 吝惫 啊磷 脚惯狼 惑技茄 惑炔阑 舅妨林脚促搁, 皑拜秦 付瘤 臼阑 巴涝聪促.

25812:如\蒙\惠\购\,\我\将\予以\足够\的\重视\,\请\尽管\放心\.\
#Should you favour us with an order,you may reply upon our best attention being paid to same.
父距 备概甫 秦 林脚促搁, 历绰 弥急阑 促秦 靛副抛聪 付澜 初栏绞聪坷.

25813:如\能\继续\收到\贵\方\来\函\,\我们\将\非常\高兴\.\
#We should be glad to hear from you further.
父距 蓖螟狼 辑脚阑 拌加 罐阑 荐 乐促搁, 快府甸篮 概快 扁卉 巴涝聪促.

25814:如\能\将\该\商品\以\最高\价\出售\,\我们\不胜\感激\.\
#Kindly oblige us by disposing of same at the best possible prices.
父距 捞 惑前阑 弥绊狼 啊拜栏肺 魄概且 荐 乐促搁, 快府绰 皑拜秦 付瘤 臼阑 巴涝聪促.

25815:如\能\提供\下列\各种\高档\印刷\用\纸\,\请\寄\样品\.\
#Will you please send us samples of the best printing papers you can offer of the following kinds:
父距 促澜狼 阿辆 绊鞭 牢尖 侩瘤甫 力傍且 荐 乐促搁, 祭敲阑 何摹绞矫坷.

25816:如\能\允许\我\经常\向\贵\方\供\货\,\我\将\感谢\不尽\.\
#I should esteem it highly if you would allow me occasionally to supply any of your orders.
父距 力啊 亲惑 蓖螟俊 拱扒阑 力傍窍绰 巴阑 倾遏窍角 荐 乐促搁, 历绰 措窜洒 皑荤且 巴涝聪促.

25817:如\你\方\观察\,\价格\一直\在\保持\上升\的\趋势\.\
#You will no doubt have observed an upward tendency in price,which has every indication of being maintained.
寸脚螟捞 包蔓窍脚 官客 鞍捞, 啊拜篮 临梆 惑铰 眠技甫 蜡瘤窍绊 乐嚼聪促.

25818:如\你\方\同意\我们的\建议\,\请\来\函\告知\.\
#Please advise by return if you agree to our proposal.
父距 寸脚螟捞 快府狼 扒狼甫 悼狼茄促搁, 辑脚栏肺 舅妨林绞矫坷.

25819:如\你\所\知\,\消费\者\对\新\产品\总是\比较\敏感\的\.\
#As you know,there is always an immediate response from the public to a new article.
寸脚捞 酒绰 官客 鞍捞, 家厚磊绰 脚惑前俊 措秦辑 亲惑 厚背利 刮皑茄 巴涝聪促.

25820:如\您\有\空\,\请\尽\早\惠\临\寒\舍\,\至\以为\感\.\
#I shall feel obliged if you will favour me with a call at your earliest convenience.
父距 寸脚捞 矫埃捞 乐栏矫搁, 啊瓷茄 弧府 规巩秦 林矫搁 皑荤窍摆嚼聪促.

25821:如上\所\述\,\这\种\装置\的\功能\十分\出色\.\
#As mentioned above,the function of the device is wonderful.
困俊辑 富茄 官客 鞍捞, 捞繁 厘摹狼 扁瓷篮 措窜洒 顿绢吵聪促.

25822:如\所\预料\,\他\把\雨伞\遗留\在\火车\上\.\
#predictably,he left his umbrella in the train.
抗惑茄 官客 鞍捞, 弊绰 快魂阑 扁瞒俊 滴绊 吭促.

25823:如\未\收到\,\我\方\可\再\寄\一\份\供\研究\.\
#If you have not received the sample,we shall send another one for your study.
父距 酒流 罐瘤 给沁促搁, 快府螟篮 楷备且 荐 乐档废 促矫 茄 何甫 焊尘 荐 乐嚼聪促.

25824:如\需\了解\其它\情况\,\请\尽快\告诉\我\.\
#If additional information is required,please advise me at your early convenience.
父距 扁鸥 惑炔阑 捞秦且 鞘夸啊 乐促搁, 啊瓷茄 弧府 唱俊霸 舅妨 林绞矫坷.

25825:如\有\,\只要\不是\太\大\或\太\重\,\我\将\带来\.\
#I will try to bring it with me if it is not too large or too heavy.
乐栏搁, 呈公 农芭唱 呈公 公疤瘤父 臼栏搁 唱绰 啊瘤绊 棵 巴捞促.

25826:如\在\大选\前\增加\税收\,\就\简直\是\疯\了\.\
#It would be madness to increase taxes just before the election.
父距 措傈 傈俊 技荐甫 刘啊矫挪促搁, 弊具富肺 固模 窿捞促.

25827:乳酪\和\酒\配\得\好\,\和\沙\拉\也\一样\配\得\好\.\
#Cheese belongs with salad as much as it does with wine.
摹令绰 贱苞 肋 绢匡府绊, 圾矾靛客档 度鞍捞 肋 绢匡赴促.

25828:润湿\肥沃\的\土地\散发\出\清新\的\泥土\气息\.\
#The moist fertile land gave off the fragrance of fresh earth.
嚼辣窍绊 厚苛茄 配瘤啊 脚急茄 傈入 氢扁甫 浅板促.

25829:若\不是\你\帮忙\,\我们\不\能\及时\完工\.\
#But for your help we should not have finished in time.
父距 呈狼 档框捞 酒聪菌促搁, 快府绰 溜矫 肯傍且 荐 绝菌促.

25830:若\不是\下雨\,\我们\那\次\旅行\就\惬意\了\.\
#But for the rain we should have had a pleasant journey.
父距 厚啊 坷瘤 臼疽促搁, 快府狼 弊 咯青篮 榴芭奎阑 巴捞促.

25831:若\贵\方\希望\空运\货\品\,\则\需\另\加\费用\.\
#If you would prefer the goods to be sent by air freight,this will be charged extra at cost.
父距 蓖荤啊 厚青扁 款价阑 锐噶窍脚促搁, 喊档 厚侩阑 何啊秦具 钦聪促.

25832:若\能\电报\实\盘\,\空\邮\样品\,\将\不胜\感激\.\
#It will be appreciated if you make us a firm offer by cable and send the representative samples by airmail.
父距 傈焊肺 七坷欺窍绊, 亲傍 款价阑 且 荐 乐促搁, 措窜洒 皑荤窍摆嚼聪促.

25833:若\你\方\能\保证\按期\交货\,\我们\要\下\大\的\订单\.\
#If you can guarantee punctual delivery,we shall place large orders with you.
父距 寸脚螟捞 沥犬茄 矫老狼 拱前 牢档甫 焊厘且 荐 乐促搁, 快府绰 措樊狼 林巩阑 窍妨绊 钦聪促.

25834:若是\我\是\你\,\那\末\我\就要\作\环\球\旅行\.\
#If I were you,I would make a trip round the world.
父距 匙啊 呈扼搁, 唱绰 技拌 咯青阑 窍摆促.

25835:若\现行\原料\价格\不变\,\我\方\价格\是\有效\的\.\
#The prices are valid only if the current prices of raw materials do not change.
父距 泅犁狼 盔丰 啊拜捞 函窍瘤 臼绰促搁, 快府螟狼 啊拜篮 蜡瓤茄 巴捞促.

25836:若\争议\无法\通过\双方\谈判\解决\,\可\提交\仲裁\.\
#Disputes may be submitted for arbitration in case no settlement can be reached through negotiation between both parties.
父距 里狼啊 街规狼 淬魄阑 烹秦 秦搬且 荐 绝促搁, 吝犁甫 脚没且 荐 乐嚼聪促.

25837:撒\哈\拉\沙漠\的\大部\份\地区\都\不适\於\居住\.\
#Most of the Sahara is uninhabitable.
荤窍扼 荤阜狼 措何盒 瘤备绰 促 混扁俊 利寸窍瘤 臼促.

25838:撒\哈\拉\沙漠\面积\约\为\三\百\万\平方\哩\.\
#The Sahara covers an area of about three million square miles.
荤窍扼 荤阜狼 搁利篮 距 300父 乞规 付老捞促.

25839:萨\利\对\苏\珊\的\友谊\这\一\阵子\似乎\冷淡\下去\了\.\
#Sally's friendship for Susan seems to have been cooling down for some time.
圾府狼 荐儡俊 措茄 快沥篮 夸令澜 侥绢柳 巴 鞍促.

25840:萨\姆\从\部队\退\役\以来\一直\在\欧洲\到处\游荡\.\
#Sam has been kicking around Europe since his discharge from the army.
基篮 何措俊辑 硼开茄 捞贰肺 临梆 蜡反 档贸甫 倒酒促聪绊 乐促.

25841:萨\姆\和\他的\妻子\一\年\前\关系\破裂\了\.\
#Sam and his wife busted up a year ago.
基苞 弊狼 酒郴绰 1斥 傈俊 包拌啊 柄脸促.

25842:赛\洛\克\仍然\坚持\要\一\磅\安\东\尼\奥\身上\的\肉\.\
#Shylock still insisted upon having a pound of Antonio's flesh.
箕捞遏篮 咯傈洒 救配聪坷狼 1颇款靛 混痢阑 掘阑 巴阑 斑瘤窍绊 乐促.

25843:赛跑\他\失败\了\,\不过\他\也\从未\真正\想\过\获胜\.\
#He lost the race,but then he never really expected to win.
版林俊辑 弊绰 角菩沁瘤父, 弊 开矫 咯瘤帛 柳沥栏肺 捞扁妨绊 积阿茄 利篮 绝菌促.
